"subj","lhs","op","rhs","est","se","z","pvalue","sarg","sarg.df","sarg.p"
"subj1","neg","~","pos",-0.12436577518794,0.0802363708684553,-1.54999252635483,0.121143309823884,3.65194165471445,1,0.0560038864131579
"subj1","pos","~","poslag",0.540494032368622,0.0750006163064358,7.20652787918814,5.73965765136302e-13,1.17131397288003,1,0.279131418892317
"subj2","neg","=~","anxious",1,0,NA,NA,NA,NA,NA
"subj2","neg","=~","angry",-0.0895737985321114,0.117013075781832,-0.76550246998993,0.443972396206116,0.0768567109099325,1,0.781603175794081
"subj2","neg","=~","sad",-0.00311770204676368,0.303963821669961,-0.0102568194781708,0.991816385584916,0.382545751966569,1,0.536243932227516
"subj2","neg","=~","depressed",-0.0159771122330833,0.163377760629971,-0.097792454563442,0.922097099051078,0.312062880240858,1,0.576417069862084
"subj2","neglag","=~","anxiouslag",1,0,NA,NA,NA,NA,NA
"subj2","neglag","=~","angrylag",-0.0895737985321114,0.117013075781832,-0.76550246998993,0.443972396206116,0.619104468994091,1,0.431380265627369
"subj2","neglag","=~","sadlag",-0.00311770204676366,0.303963821669961,-0.0102568194781707,0.991816385584916,0.866859607416579,1,0.351826171637414
"subj2","neglag","=~","depressedlag",-0.0159771122330833,0.163377760629971,-0.0977924545634422,0.922097099051078,0.287414635406365,1,0.591882075999507
"subj2","pos","=~","happy",1,0,NA,NA,NA,NA,NA
"subj2","pos","=~","excited",1.43005699248507,0.0935813965826469,15.2814239229921,1.0169415158435e-52,1.99766643321461,1,0.157541589388769
"subj2","pos","=~","relaxed",0.996860084144428,0.108883187569577,9.15531687118754,5.4198512159417e-20,1.99522218606332,1,0.157795923308371
"subj2","pos","=~","satisfied",0.956655012066797,0.0685404228150445,13.9575300643872,2.83075076337727e-44,0.504910575567921,1,0.477350367947016
"subj2","poslag","=~","happylag",1,0,NA,NA,NA,NA,NA
"subj2","poslag","=~","excitedlag",1.43005699248507,0.0935813965826469,15.2814239229921,1.01694151584347e-52,3.39207516336287,1,0.0655104514899999
"subj2","poslag","=~","relaxedlag",0.996860084144428,0.108883187569577,9.15531687118754,5.4198512159417e-20,4.71742962965081,1,0.0298583434680231
"subj2","poslag","=~","satisfiedlag",0.956655012066797,0.0685404228150445,13.9575300643872,2.8307507633772e-44,0.745612059915831,1,0.387869044517612
"subj2","neg","~","neglag",-0.734920899317612,0.606638924739416,-1.211463474147,0.225717825252738,0.36365014054945,1,0.546485996342812
"subj2","neg","~","pos",-0.566464582770927,0.357544195282321,-1.58432045673022,0.113120812867165,0.36365014054945,1,0.546485996342812
